LL,FC,SC,ρnorm,ωnorm,C,T,η/Civ,qu,CEM
50.52,44,26,0.995192308,1.115384615,5,7,7.709289,3218.83,I
50.52,44,26,0.995192308,1.211538462,5,7,7.709289,2956.803,I
50.52,44,26,0.995192308,0.826923077,5,14,7.709289,4600.318,I
50.52,44,26,0.995192308,0.923076923,5,14,7.709289,4454.115,I
50.52,44,26,0.995192308,1.019230769,5,14,7.709289,4068.672,I
50.52,44,26,0.995192308,1.115384615,5,14,7.709289,3793.353,I
50.52,44,26,0.995192308,1.211538462,5,14,7.709289,3590.188,I
50.52,44,26,0.995192308,0.826923077,5,21,7.709289,4979.275,I
50.52,44,26,0.995192308,0.923076923,5,21,7.709289,4882.438,I
50.52,44,26,0.995192308,1.019230769,5,21,7.709289,4806.488,I
50.52,44,26,0.995192308,1.115384615,5,21,7.709289,4307.122,I
50.52,44,26,0.995192308,1.211538462,5,21,7.709289,4176.11,I
50.52,44,26,0.995192308,0.826923077,5,28,7.709289,5557.595,I
50.52,44,26,0.995192308,0.923076923,5,28,7.709289,5348.734,I
50.52,44,26,0.995192308,1.019230769,5,28,7.709289,4999.368,I
50.52,44,26,0.995192308,1.115384615,5,28,7.709289,4953.798,I
50.52,44,26,0.995192308,1.211538462,5,28,7.709289,4889.24,I
43.6,82.74,17.26,0.93642018,0.317460317,10,0,13.03349,162.6736,I
43.6,82.74,17.26,0.93642018,0.317460317,10,7,13.03349,178.1573,I
43.6,82.74,17.26,0.93642018,0.317460317,10,14,13.03349,216.1087,I
43.6,82.74,17.26,0.93642018,0.396825397,10,28,13.03349,268.7808,I
43.6,82.74,17.26,0.946786455,0.396825397,10,0,12.75351,160.6593,I
43.6,82.74,17.26,0.946786455,0.476190476,10,7,12.75351,196.2864,I
43.6,82.74,17.26,0.946786455,0.476190476,10,14,12.75351,222.617,I
43.6,82.74,17.26,0.946786455,0.476190476,10,28,12.75351,293.1086,I
43.6,82.74,17.26,0.93642018,0.531746032,10,0,13.03349,112.5467,I
43.6,82.74,17.26,0.93642018,0.531746032,10,7,13.03349,140.8136,I
43.6,82.74,17.26,0.93642018,0.531746032,10,14,13.03349,176.4409,I
43.6,82.74,17.26,0.93642018,0.555555556,10,28,13.03349,224.4644,I
43.6,82.74,17.26,0.927436075,0.555555556,10,0,13.28121,93.09996,I
43.6,82.74,17.26,0.927436075,0.555555556,10,7,13.28121,396.4088,I
43.6,82.74,17.26,0.927436075,0.555555556,10,14,13.28121,539.7281,I
43.6,82.74,17.26,0.927436075,0.555555556,10,28,13.28121,615.6433,I
43.6,82.74,17.26,0.863165169,0.555555556,10,0,15.20373,38.0133,I
43.6,82.74,17.26,0.863165169,0.555555556,10,7,15.20373,69.76782,I
43.6,82.74,17.26,0.863165169,0.555555556,10,14,15.20373,92.99901,I
43.6,82.74,17.26,0.863165169,0.555555556,10,28,15.20373,235.931,I
